subject,group,trial,error
EC_009,EC,82,0.2910416663
EC_009,EC,83,3.5983333288000003
EC_009,EC,84,0.6879166658
EC_009,EC,85,3.2543749959
EC_009,EC,86,0.9524999988
EC_009,EC,87,0.4497916661
EC_009,EC,88,-0.9524999988
EC_009,EC,89,0.6879166658
EC_009,EC,90,0.0793749999
EC_009,EC,91,1.2170833318
EC_009,EC,92,-0.3704166662
EC_009,EC,93,0.0793749999
EC_009,EC,94,2.6987499966
EC_009,EC,95,-1.1906249985
EC_009,EC,96,0.8466666656
EC_009,EC,97,-3.3337499958000003
EC_009,EC,98,0.0793749999
EC_009,EC,99,0.0
EC_009,EC,100,1.8256249977
EC_010,EC,1,10.4510416535
